,Year,exp_imp,Country_name,Value_in_Yen,Unit2,Area,hs2_name,hs4_name
5147455,2000,Import,United_Arab_Emirates,1225698537,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
5147451,2000,Import,Saudi_Arabia,1199131277,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
5147448,2000,Import,Iran,551082332,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
5147772,2000,Import,Indonesia,520744140,MT,Asia,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_gases_and_other_gaseous_hydrocarbons
5147453,2000,Import,Qatar,433620642,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
5147452,2000,Import,Kuwait,391119772,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
5147770,2000,Import,Malaysia,270675988,MT,Asia,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_gases_and_other_gaseous_hydrocarbons
5213261,2000,Import,Germany,250001802,NO,Western_Europe,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars
5146361,2000,Import,United_States_of_America,241482071,KG,North_America,Tobacco and manufactured tobacco substitutes.,Cigars__cheroots__cigarillos_and_cigarettes__of_tobacco_or_of_tobacco_substitutes
5147447,2000,Import,Indonesia,239130857,KG,Asia,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
5203745,2000,Import,United_States_of_America,226296154,KG,North_America,Machines,Parts_and_accessories_(other_than_covers__carrying_cases_and_the_like)_suitable_for_use_solely_or_principally_with_machines_of_headings_84.69_to_84.72
5147454,2000,Import,Oman,215566784,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
5203073,2000,Import,Taiwan,210088591,NO,Asia,Machines,Automatic_data_processing_machines_and_units_thereof;_magnetic_or_optical_readers__machines_for_transcribing_data_onto_data_media_in_coded_form_and_machines_for_processing_such_data__not_elsewhere_specified_or_included
5203696,2000,Import,Taiwan,208214444,KG,Asia,Machines,Parts_and_accessories_(other_than_covers__carrying_cases_and_the_like)_suitable_for_use_solely_or_principally_with_machines_of_headings_84.69_to_84.72
5147787,2000,Import,Saudi_Arabia,182868046,MT,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_gases_and_other_gaseous_hydrocarbons
5147777,2000,Import,Australia,182201843,MT,Oceania,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_gases_and_other_gaseous_hydrocarbons
5213291,2000,Import,Germany,165679682,NO,Western_Europe,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars
5147065,2000,Import,Australia,164872711,MT,Oceania,Ores  slag and ash.,Iron_ores_and_concentrates__including_roasted_iron_pyrites:
5212339,2000,Import,United_States_of_America,164149571,NO,North_America,Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,Electrical_machines_and_apparatus__having_individual_functions__not_specified_or_included_elsewhere_in_this_Chapter
5208130,2000,Import,United_States_of_America,161007793,KG,North_America,Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,Telephone_sets__including_telephones_for_cellular_networks_or_for_other_wireless_networks;_other_apparatus_for_the_transmission_or_reception_of_voice__images_or_other_data__including_apparatus_for_communication_in_a_wired_or_wireless_network_(such_as_a_local_or_wide_area_network)__other_than_transmission_or_reception_apparatus_of_heading_84.43__85.25__85.27_or_85.28
