,Year,exp_imp,Country_name,Value_in_Yen,Unit2,Area,hs2_name,hs4_name
2048854,2000,Export,United_States_of_America,1652460761,NO,North_America,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars
2049043,2000,Export,United_States_of_America,972258923,NO,North_America,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars
2048669,2000,Export,United_States_of_America,655489129,NO,North_America,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars
2073103,2000,Export,United_States_of_America,570618248,KG,North_America,,unknow
2021827,2000,Export,United_States_of_America,401291246,KG,North_America,Machines,Parts_and_accessories_(other_than_covers__carrying_cases_and_the_like)_suitable_for_use_solely_or_principally_with_machines_of_headings_84.69_to_84.72
2054540,2000,Export,Panama,393728920,GT,Middle_and_South_America,Ships  boats and floating structures.,Cruise_ships__excursion_boats__ferry-boats__cargo_ships__barges_and_similar_vessels_for_the_transport_of_persons_or_goods
2038058,2000,Export,United_States_of_America,332819849,NO,North_America,Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,Transmission_apparatus_for_radio-broadcasting_or_television__whether_or_not_incorporating_reception_apparatus_or_sound_recording_or_reproducing_apparatus;_television_cameras__digital_cameras_and_video_camera_recorders
2051656,2000,Export,United_States_of_America,287762810,KG,North_America,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Parts_and_accessories_of_the_motor_vehicles_of_headings_87.01_to_87.05
2023001,2000,Export,Taiwan,271947974,KG,Asia,Machines,Machines_and_mechanical_appliances_having_individual_functions__not_specified_or_included_elsewhere_in_this_Chapter
2034378,2000,Export,United_States_of_America,252993071,KG,North_America,Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,Telephone_sets__including_telephones_for_cellular_networks_or_for_other_wireless_networks;_other_apparatus_for_the_transmission_or_reception_of_voice__images_or_other_data__including_apparatus_for_communication_in_a_wired_or_wireless_network_(such_as_a_local_or_wide_area_network)__other_than_transmission_or_reception_apparatus_of_heading_84.43__85.25__85.27_or_85.28
2052751,2000,Export,United_States_of_America,234004555,KG,North_America,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Parts_and_accessories_of_the_motor_vehicles_of_headings_87.01_to_87.05
2054494,2000,Export,Panama,213623972,GT,Middle_and_South_America,Ships  boats and floating structures.,Cruise_ships__excursion_boats__ferry-boats__cargo_ships__barges_and_similar_vessels_for_the_transport_of_persons_or_goods
2056921,2000,Export,United_States_of_America,183050591,KG,North_America,Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.,
2021800,2000,Export,Netherlands,174793918,KG,Western_Europe,Machines,Parts_and_accessories_(other_than_covers__carrying_cases_and_the_like)_suitable_for_use_solely_or_principally_with_machines_of_headings_84.69_to_84.72
2001166,2000,Export,United_States_of_America,173625138,KG,North_America,Machines,Spark-ignition_reciprocating_or_rotary_internal_combustion_piston_engines.
2021764,2000,Export,Taiwan,168217903,KG,Asia,Machines,Parts_and_accessories_(other_than_covers__carrying_cases_and_the_like)_suitable_for_use_solely_or_principally_with_machines_of_headings_84.69_to_84.72
2001916,2000,Export,United_States_of_America,161999990,KG,North_America,Machines,Parts_suitable_for_use_solely_or_principally_with_the_engines_of_heading_84.07_or_84.08.
2023068,2000,Export,United_States_of_America,161681273,KG,North_America,Machines,Machines_and_mechanical_appliances_having_individual_functions__not_specified_or_included_elsewhere_in_this_Chapter
2022998,2000,Export,Korea,158526394,KG,Asia,Machines,Machines_and_mechanical_appliances_having_individual_functions__not_specified_or_included_elsewhere_in_this_Chapter
2057082,2000,Export,United_States_of_America,152456187,KG,North_America,Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.,
