,Country_name
United_States_of_America,5939
China,5442
Korea,4342
Germany,4317
France,4024
Italy,3957
United_Kingdom,3756
Taiwan,3724
Thailand,2838
Canada,2476
Indonesia,2385
Netherlands,2369
Switzerland,2317
Australia,2101
Belgium,1995
Spain,1980
Malaysia,1958
Hong_Kong,1903
Singapore,1801
Philippines,1787
