,hs4_name
Women's_or_girls'_suits__ensembles__jackets__blazers__dresses__skirts__divided_skirts__trousers__bib_and_brace_overalls__breeches_and_shorts_(other_than_swimwear).,1011
Women's_or_girls'_suits__ensembles__jackets__blazers__dresses__skirts__divided_skirts__trousers__bib_and_brace_overalls__breeches_and_shorts_(other_than_swimwear)__knitted_or_crocheted.,797
Jerseys__pullovers__cardigans__waistcoats_and_similar_articles__knitted_or_crocheted.,747
Footwear_with_outer_soles_of_rubber__plastics__leather_or_composition_leather_and_uppers_of_leather.,728
Fish__frozen__excluding_fish_fillets_and_other_fish_meat_of_heading_03.04,601
Trunks__suit-cases__vanity-cases__executive-cases__brief-cases__school_satchels__spectacle_cases__binocular_cases__camera_cases__musical_instrument_cases__gun_cases__holsters_and_similar_containers;_travelling-bags__insulated_food_or_beverages_bags__toilet_bags__rucksacks__handbags__shopping-bags__wallets__purses__map-cases__cigarette-cases__tobacco-pouches__tool_bags__sports_bags__bottle_-cases__jewellery_boxes__powder-boxes__cutlery_cases_and_similar_containers__of_leather_or_of_composition_leather__of_sheeting_of_plastics__of_textile_materials__of_vulcanised_fibre_or_of_paperboard__or_wholly_or_mainly_covered_with_such_materials_or_with_paper.,597
Seats_(other_than_those_of_heading_94.02)__whether_or_not_convertible_into_beds__and_parts_thereof,544
Electronic_integrated_circuits,536
Automatic_data_processing_machines_and_units_thereof;_magnetic_or_optical_readers__machines_for_transcribing_data_onto_data_media_in_coded_form_and_machines_for_processing_such_data__not_elsewhere_specified_or_included,532
Woven_fabrics_of_cotton__containing_85_%_or_more_by_weight_of_cotton__weighing_not_more_than_200_g/m2.,505
Instruments_and_appliances_used_in_medical__surgical__dental_or_veterinary_sciences__including_scintigraphic_apparatus__other_electro-medical_apparatus_and_sight-testing_instruments,502
Woven_fabrics_of_synthetic_filament_yarn__including_woven_fabrics_obtained_from_materials_of_heading_54.04.,502
Men's_or_boys'_suits__ensembles__jackets__blazers__trousers__bib_and_brace_overalls__breeches_and_shorts_(other_than_swimwear).,496
Wood_sawn_or_chipped_lengthwise__sliced_or_peeled__whether_or_not_planed__sanded_or_end-jointed__of_a_thickness_exceeding_6_mm.,486
"Tricycles__scooters__pedal_cars_and_similar_wheeled_toys;_dolls'_carriages;_dolls;_other_toys;_reduced-size_(""scale"")_models_and_similar_recreational_models__working_or_not;_puzzles_of_all_kinds",480
Parts_and_accessories_of_the_motor_vehicles_of_headings_87.01_to_87.05,479
Other_furniture_and_parts_thereof,466
Fruit__nuts_and_other_edible_parts_of_plants__otherwise_prepared_or_preserved___whether_or_not_containing_added_sugar_or_other_sweetening_matter_or_spirit__not_elsewhere_specified_or_included,459
Knitted_or_crocheted_fabrics_of_a_width_not_exceeding_30_cm__containing_by_weight_5_%_or_more_of_elastomeric_yarn_or_rubber_thread__other_than_those_of_heading_60.01.,433
Air_or_vacuum_pumps__air_or_other_gas_compressors_and_fans;_ventilating_or_recycling_hoods_incorporating_a_fan__whether_or_not_fitted_with_filters.,430
