,Country_name
China,6038
United_States_of_America,5306
Germany,4030
Korea,4024
Italy,3903
Taiwan,3607
France,3570
Thailand,3274
United_Kingdom,3252
Viet_Nam,2581
India,2567
Indonesia,2491
Spain,2157
Canada,2100
Netherlands,2044
Malaysia,1994
Switzerland,1885
Belgium,1792
Philippines,1668
Sweden,1640
