,hs2_name
Machines,10113
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,7680
Articles of apparel and clothing accessories  knitted or crocheted.,5364
Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.,4669
Articles of apparel and clothing accessories  not knitted or crocheted.,4203
Plastics and articles thereof.,3118
Organic chemicals.,2929
Articles of iron or steel.,2381
Wood and articles of wood; wood charcoal.,1825
Iron and steel.,1739
Cotton.,1641
Furniture; bedding  mattresses  mattress supports  cushions and similar stuffed furnishings; lamps and lighting fittings  not elsewhere specified or included; illuminated signs  illuminated name-plates and the like; prefabricated buildings.,1637
Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,1604
Fish and crustaceans  molluscs and other aquatic invertebrates.,1527
Rubber and articles thereof.,1520
Footwear  gaiters and the like; parts of such articles.,1397
Preparations of vegetables  fruit  nuts or other parts of plants.,1357
Paper and paperboard; articles of paper pulp  of paper or of paperboard.,1346
Tools  implements  cutlery  spoons and forks  of base metal; parts thereof of base metal.,1315
Natural or cultured pearls  precious or semi-precious stones  precious metals  metals clad with precious metal and articles thereof; imitation jewellery; coin.,1276
