,hs4_name
Women's_or_girls'_suits__ensembles__jackets__blazers__dresses__skirts__divided_skirts__trousers__bib_and_brace_overalls__breeches_and_shorts_(other_than_swimwear)__knitted_or_crocheted.,1045
Women's_or_girls'_suits__ensembles__jackets__blazers__dresses__skirts__divided_skirts__trousers__bib_and_brace_overalls__breeches_and_shorts_(other_than_swimwear).,1002
Jerseys__pullovers__cardigans__waistcoats_and_similar_articles__knitted_or_crocheted.,895
Footwear_with_outer_soles_of_rubber__plastics__leather_or_composition_leather_and_uppers_of_leather.,718
Instruments_and_appliances_used_in_medical__surgical__dental_or_veterinary_sciences__including_scintigraphic_apparatus__other_electro-medical_apparatus_and_sight-testing_instruments,706
Parts_and_accessories_of_the_motor_vehicles_of_headings_87.01_to_87.05,664
Trunks__suit-cases__vanity-cases__executive-cases__brief-cases__school_satchels__spectacle_cases__binocular_cases__camera_cases__musical_instrument_cases__gun_cases__holsters_and_similar_containers;_travelling-bags__insulated_food_or_beverages_bags__toilet_bags__rucksacks__handbags__shopping-bags__wallets__purses__map-cases__cigarette-cases__tobacco-pouches__tool_bags__sports_bags__bottle_-cases__jewellery_boxes__powder-boxes__cutlery_cases_and_similar_containers__of_leather_or_of_composition_leather__of_sheeting_of_plastics__of_textile_materials__of_vulcanised_fibre_or_of_paperboard__or_wholly_or_mainly_covered_with_such_materials_or_with_paper.,588
Woven_fabrics_of_synthetic_filament_yarn__including_woven_fabrics_obtained_from_materials_of_heading_54.04.,575
Men's_or_boys'_suits__ensembles__jackets__blazers__trousers__bib_and_brace_overalls__breeches_and_shorts_(other_than_swimwear).,549
Seats_(other_than_those_of_heading_94.02)__whether_or_not_convertible_into_beds__and_parts_thereof,535
Fruit__nuts_and_other_edible_parts_of_plants__otherwise_prepared_or_preserved___whether_or_not_containing_added_sugar_or_other_sweetening_matter_or_spirit__not_elsewhere_specified_or_included,517
Insulated_(including_enamelled_or_anodised)_wire__cable_(including_co-axial_cable)_and_other_insulated_electric_conductors__whether_or_not_fitted_with_connectors;_optical_fibre_cables__made_up_of_individually_sheathed_fibres__whether_or_not_assembled_with_electric_conductors_or_fitted_with_connectors,506
Air_or_vacuum_pumps__air_or_other_gas_compressors_and_fans;_ventilating_or_recycling_hoods_incorporating_a_fan__whether_or_not_fitted_with_filters.,496
Other_furniture_and_parts_thereof,484
Pumps_for_liquids__whether_or_not_fitted_with_a_measuring_device;_liquid_elevators.,474
Women's_or_girls'_overcoats__car-coats__capes__cloaks__anoraks_(including_ski-jackets)__wind-cheaters__wind-jackets_and_similar_articles__other_than_those_of_heading_62.04.,474
T-shirts__singlets_and_other_vests__knitted_or_crocheted.,461
Electronic_integrated_circuits,459
Electrical_transformers__static_converters_(for_example__rectifiers)_and_inductors,457
Transmission_shafts_(including_cam_shafts_and_crank_shafts)_and_cranks;_bearing_housings_and_plain_shaft_bearings;_gears_and_gearing;_ball_or_roller_screws;_gear_boxes_and_other_speed_changers__including_torque_converters;_flywheels_and_pulleys__including_pulley_blocks;_clutches_and_shaft_couplings_(including_universal_joints),454
